,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2101,,843,,,,,,naGIcVWG2UGoywoVDgxSPA,0,,,,,   ,R2T,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
1,2102,2101,843,,,,,,ZbkWa7sLfkuaGc1bETE1Ew,0,,,,,,Lab,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,2103,2101,843,,,,,,60VBZUOBEUqME8u6+UrHSA,101,,,,,MATERIAL,MT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
3,2104,2101,843,,,,,,vy+bG9NqE0u6ATnV7OO+/A,2,,,,,EQUIPMENT,EQ,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
4,2107,2103,843,,,,,,0EubrM5vwEelyJCTtJYsuw,507,,,,,  ,SANT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
5,2108,2102,843,,,,,,Ppllht5Jzk+aAKp3nvfqHg,100,,,,,,Oth,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
6,2109,2104,843,,,,,,QbGfwcmW506X6yDzhZ/j3A,6,,,,,  ,Wt,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
7,2115,2103,843,,,,,,em93hb6sXEGDjX1ZinRf2g,607,,,,,  ,In&pn,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
8,2117,2102,843,,,,,,yaMU58ZXw06z4RpkWnq1zw,0,,,,, ,SUBC,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
9,2118,2103,843,,,,,,8dzeEuvATUubO+oGdgk+VQ,907,,,,, ,Miscellaneous,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
10,2124,2118,843,,,,,,+4Dns1ZGlkyknIt59sszuA,4,,,,,  ,CM,,0.625,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,<HTML><BODY></BODY></HTML>,,,
11,2126,2118,843,,,,,,j3jutdDMuU25kctF0+vPww,2,,,,,   ,BR,,9,QT_Hour,0,Y,Y,Y,N,N,60,60,1,112,RT_Mat,,,,
12,2127,2108,843,,,,,,rJqy4u1QAkmlCmUldZ1mYg,9,,,,, ,ARCFO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
13,2137,2118,843,,,,,,tP/5DAs5O0KtPgNWvI+2fw,34,,,,,  GRG  ,GRG,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,110,RT_Mat,,,,
14,2142,2115,843,,,,,,Fs6lVjtU8U6VfLIEjPHTgQ,601,,,,,  2,THERMAL,,18.75,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
15,2143,2108,843,,,,,,tC8Qv8ZFA02hsh8ClKMM9w,1,,,,, ,OP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
16,2144,2118,843,,,,,,yvcYwhJmPEKEQZybCvEQYQ,24,,,,,  ,CMW,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
17,2145,2108,843,516,,,,,c6KWc/E0h0S/FL6lL6WjFg,2,,,,, ,Enl,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
18,2146,2118,843,,,,,,Rszkz35fTUKjWZ00snLv/Q,25,,,,,  , ,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
19,2156,2115,843,,,,,,/JBHZMmbj0eKDDJ33PqzIQ,501,,,,,   -,IM,,0.0625,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,<HTML><BODY bgColor=#ffffff>   2     6  3/2   6000</BODY></HTML>,,,
20,2159,2118,843,,,,,,9TM7xSJRkU2sVkzKRBBx4w,19,,,,,   40*20*10,HBOCK,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,112,RT_Mat,,,,
21,2160,2118,843,,,,,,4TxUmKWLqEGRTZ7hw0AiQw,5,,,,, 3,S,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
22,2164,2118,843,,,,,,eddTe/Ph+k2nVGTrIDCGtA,22,,,,, 1 2, 12,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
23,2165,2108,843,,,,,,yib34vpjJUWr0DoPdRjsqg,6,,,,, ,ARCENG,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
24,2169,2118,843,,,,,,KIdM03bSDkKf+EUhJC/9xA,8,,,,,   ,SNM,,625,QT_Hour,0,Y,Y,Y,N,N,60,60,1,105,RT_Mat,,,,
25,2171,2118,843,,,,,,fM3rG4wCfky/ZAkd9SmrGQ,33,,,,,   ,STAIR,,9.375,QT_Hour,0,Y,Y,Y,N,N,60,60,1,110,RT_Mat,,,,
26,2173,2115,843,,,,,,c2YSEBHnxUiM3qhSYNbCFg,101,,,,, ,SVt,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
27,2175,2118,843,,,,,,SeqLGPuQDk2o6zIEqhml0g,12,,,,,   ,TILER,,25,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
28,2177,2115,843,,,,,,I9zKUuP1T02UBWZ9QH7aHg,401,,,,,   -,SEAL,,0.0625,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
29,2184,2118,843,,,,,,nrbNkq+ar0yNIQ8r6CHf7g,39,,,,, ,Mob,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,105,RT_Mat,,,,
30,2189,2117,843,,,,,,79UG3cD0QEiXPZjwgMdOQA,19,,,,,  ,SCMAR, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
31,2198,2117,843,,,,,,A53+phPl9EWP+tUivzPMIw,2,,,,,  ,SCI, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY bgColor=#ffffff><P>&nbsp;   8   8/   11002  4002/  3/2</P><P> 9600 8   150/</P></BODY></HTML>,,,
32,2199,2117,843,,,,,,TMmRpr6j6kOxUk9ly2EW0g,3,,,,, ,SCB, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY bgColor=#ffffff><P align=right>        &nbsp;     8    150 &nbsp;  1200</P></BODY></HTML>,,,
33,2201,2118,843,,,,,,0KNvr3ovC0m86zbSc/vGxg,20,,,,,  40*20*20,HBLOC2,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,112,RT_Mat,,,,
34,2203,2118,843,,,,,,WrgMJElC+kO8NI7CFpUxjg,21,,,,,  ,SCAF,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,<HTML><BODY bgColor=#ffffff>    60      120    2  / 2</BODY></HTML>,,,
35,2204,2115,843,,,,,,YZrwthazwUWUCJdnYXoatA,701,,,,,   2,Bet,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
36,2208,2117,843,,,,,,XKbXW9r+W02nX7yMIN/dHg,14,,,,,  ,SCTHER, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
37,2211,2117,843,,,,,,cCBmG/m1kkKSlgWkD6+fFA,10,,,,,  ,SCTILE, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
38,2212,2117,843,,,,,,vSxpAwkSQE2Q0hXJci6qFg,8,,,,,  ,SCSN, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
39,2216,2118,843,,,,,,ziiAMx1KIk6A1mHK8eL6Qw,32,,,,,    ,MARB,,8.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
40,2217,2117,843,,,,,,BuEub50yakmTF5Kjpi8png,18,,,,,  , , ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
41,2246,2117,843,,,,,,pkDkCYWfQ0G8JyICJxAtyQ,6,,,,,  ,SCPLS, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
42,2247,2118,843,,,,,,NlJJxtpqykmMNswE/4QeYw,23,,,,,   ,,,25,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
43,2248,2118,843,,,,,,Ua2cyfZ9t0mhghNXuLIwwA,0,,,,,  ,SCF,,0,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
44,2282,2107,843,,,,,,glLHLAI1HU2jzm2oJFaP+A,18,,,,, ,SANO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
45,2305,2115,843,,,,,,bhC1CXMQZkOjkCpRnGCcAw,2,,,,,   ,STR,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
46,2308,2118,843,,,,,,EYdvR4Iys0uXPYnKOsding,3,,,,,   61020,Brick,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,112,RT_Mat,,,,
