,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,1628,,597,,,,,,M5+i4uzF70W2M4h+wp9dKg,0,,,,,,PRG2X,,0,QT_Hour,0,Y,N,Y,N,N,60,60,31,,RT_Mat,,,,
1,1629,1628,597,,,,,,VisiIZWZUEyBOokdO1j8oQ,6,,,,, ,X-118,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,,RT_Mat,,,,
2,1630,1628,597,,,,,,WrErgZH7Q0+eGpAKsc0c+A,5,,,,,,X-117,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,104,RT_Mat,,,,
3,1631,1628,597,,,,,,xQNiJhLwAk6XSOiEZDqPgA,4,,,,,,X-92,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,,RT_Mat,,,,
4,1632,1628,597,,,,,,n/gIus1yM0afsOaZxewuSw,3,,,,,,X-41,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,,RT_Mat,,,,
5,1633,1628,597,,,,,,WbgVJIm2SUKUbvu5FVsQgQ,2,,,,, ,X-24,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,,RT_Mat,,,,
6,1634,1628,597,,,,,,9fOjoPV7u0qiNfO//Q715w,1,,,,, ,X-19,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,,RT_Mat,,,,
7,1635,1628,597,,,,,,Gi6BSbTCdEalRnKDR0sD0Q,0,,,,, ,X,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,,RT_Mat,,,,
8,1636,1635,597,,,,,,r5zhkvVQK0S60aKHrkVbYA,14,,,,,   ,X-15,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,103,RT_Mat,,,,
9,1637,1635,597,,,,,,eVlYlCrDLEixxxj8M4wObA,12,,,,,      ,X-13,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,102,RT_Mat,,,,
10,1638,1635,597,,,,,,fU6KOx6c+02bzZSei2LEbQ,11,,,,,        6,X-12,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,102,RT_Mat,,,,
11,1639,1635,597,,,,,,v6vUpt3oAECc6R5obW+E6A,9,,,,,    (    13 ),X-10,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,102,RT_Mat,,,,
12,1640,1635,597,,,,,,pV+r/QILM0SxXInZRfDndQ,8,,,,,    (   6  13 ),X-9,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,102,RT_Mat,,,,
13,1641,1635,597,,,,,,nbKIX3533UGWWurrc8QvHw,7,,,,,    (    6 ),X-8,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,102,RT_Mat,,,,
14,1642,1635,597,,,,,,LNUTp4PspE2pDcj1KPLJqw,6,,,,,   ,X-7,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,31,103,RT_Mat,,,,
