,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,1857,2008,782,,,,,,5wbH6MB9Xka66m8VO6KTTB,1,,,,,Edison High,Edison Resources,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
1,1858,1857,782,,,,,,h1pryu1EeEqb1kP7ky/fex,0,,,,,Contractor,Cont,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,,,,
2,1878,1858,782,,,,,,TVB/wajMH06qEQe3GuTA5B,0,,,,,Division 01,01,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
3,1882,1858,782,,,,,,580M89W8ZEuGgtUQWKX3Vh,700,,,,,Division 08,08,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
4,1884,1858,782,,,,,,ROK58h7K5EGwW/7aqMcnFx,200,,,,,Division 03,03,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
5,1885,1858,782,,,,,,T0zuxujW+E6RE+ZKXC9joh,900,,,,,Division 10,10,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
6,1888,1858,782,,,,,,s/BK0DzWKUSFR2KLnarHNR,1100,,,,,Division 12,12,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
7,1890,1858,782,,,,,,UeiX5ywhnUSNHJD65dMv7x,1500,,,,,Division 16,16,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
8,1891,1858,782,,,,,,Sb1u0IDlpEOrXUnCXkAtbR,300,,,,,Division 04,04,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
9,1895,1884,782,,,,,,UIw/Tyb6/kiVHdL3UMR0ZR,0,,,,,Concrete Crew,Conc,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,"<HTML><HEAD><BASE href=""""file://C:\Documents and Settings\chadw\Local Settings\Temp\""""></HEAD> <BODY></BODY></HTML>",,,
10,1899,1891,782,,,,,,NWGRKyERWkmTB1MteuvOvB,0,,,,,Masonry Crew,Mas,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
11,1926,1878,782,,,,,,Ku5h3oBy7kutu0gshUhbsx,4,,,,,Insurance,Ins,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
12,2377,,1323,,,,,,qpPiOGSPREedadKYjOGvhw,601,,,,,Resources for project V30,V30,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
13,2379,2377,597,,,,,,eERURleu40yRbt3cw8hH7Q,0,,,,,Glopal Resources,V30-1,,,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
14,2381,2379,1331,,,,,,tjf3kdfzwkeaVQTVPxxQZg,18060,,,,,Reinforcement,Rft,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
15,2382,2379,597,,,,,,NRn+3/ZAiEKALIQxGs22XQ,15591,,,,,Door&Window,D&W,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
16,2383,2379,597,,,,,,4ZouhIe8/Ua6fUn4j2oXBQ,15590,,,,,  ,,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
17,2384,2379,597,,,,,,zYf1zz4GKkyv1mv+9OcFHQ,3,,,,, ,SW,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
18,2385,2379,597,,,,,,E4K/EqqqhUClTk5wnomJng,1,,,,,,FNSH,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
19,2386,2379,597,,,,,,s8+Ay8mHbECeEwYZ3R+wfw,5,,,,, ,SNT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
20,2387,2379,1364,,,,,,vkUNO9zHqUGVDVXw8jwJSg,0,,,,, ,.,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
21,2392,2382,597,,,,,,IIoCfp417EWoPmb25d75/w,2001,,,,,  - 4,FRW4,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
22,2395,2382,597,,,,,,wArodGD1bE60yk4j3kF2zw,1801,,,,,  - 2,FRW2,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
23,2396,2384,1329,,,,,,EJp5S5sSLkSqtLqZsAErLw,3,,,,,,,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Mat,,,,
24,2398,2384,1330,,,,,,MuZxUwXj802/1jzk3Bi2tg,2,,,,,,,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Mat,,,,
25,2399,2382,597,,,,,,NBWE2JN1WEextU2KG27Tbg,1501,,,,,  - 5,FRD5,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
26,2400,2382,597,,,,,,dykP6L7lLEmA/I89cOXiJA,1601,,,,,  - 6,FRD6,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
27,2401,2381,1332,,,,,,6qIYUUiXaU+FL5yS16MN2w,301,,,,, 18 ,18,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
28,2402,2382,597,,,,,,uOqH4YgDM02J/0B1+OQ6JQ,2701,,,,,  - 11,FRW11,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
29,2403,2382,597,,,,,,QyIiOtoHz0CpA0g3eY2uBQ,2801,,,,,  - 12,FRW12,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
30,2404,2385,1345,,,,,,xmrMEpwFYU+xY0A57dul+w,14,,,,,  , ,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
31,2405,2382,597,,,,,,SymqDdRsYU6hRDJlAYrxnw,1901,,,,,  - 3,FRW3,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
32,2406,2385,1347,,,,,,BhA3N4o1XkG3RcXy9sUhXw,16,,,,, , ,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
33,2407,2382,597,,,,,,QSDrUnfvMEW+GrZ6BYFPUg,2101,,,,,  - 5,FRW5,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
34,2408,2382,597,,,,,,ir+fXhYJeUyc8h+oZxCvow,2201,,,,,  - 6,FRW6,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
35,2409,2382,597,,,,,,ZUxuH+1leU6x6OU51erGPg,2301,,,,,  - 7,FRW7,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
36,2410,2382,597,,,,,,3vbQsQMjIEyHWbVxdvJMmQ,2401,,,,,  - 8,FRW8,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
37,2411,2382,597,,,,,,DfRLLgL26Ua3gBU7gTuqgw,2501,,,,,  - 9,FRW9,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
38,2412,2381,1333,,,,,,m5jBa7nOQ02ja1M+HxLuvA,501,,,,, 22 ,22,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
39,2413,2382,1336,,,,,,A11caBSbRk+5pe/XIxoy5w,1,,,,, ,,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
40,2414,2382,597,,,,,,SR4dO47XzEKceNAjcj8Yiw,1101,,,,,  - 1,FRD1,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
41,2415,2382,597,,,,,,qr6DLhYoKUOfnx9EnRKHJQ,1201,,,,,  - 2,FRD2,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
42,2416,2382,597,,,,,,YfBTh1Rl2kCcYwXaUT+7cA,1301,,,,,  - 3,FRD3,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
43,2417,2382,597,,,,,,4VDMLNp/FUS8zDd9GD3bhw,1401,,,,,  - 4,FRD4,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
44,2418,2386,1359,,,,,,UfOBzJ3tpkOYgVbjliEfPA,37,,,,,  ,  ,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
45,2419,2385,1360,,,,,,Kb7WZUJHG0eScvjw4Pan1A,23,,,,, , ,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
46,2420,2382,597,,,,,,V7jA7NGbs0CVbQ3VvNAmXw,1701,,,,,  - 1,FRW1,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
47,2421,2385,1348,,,,,,hVG1L2ajm06vO/JpsDQzLg,17,,,,, , ,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
48,2422,2385,1349,,,,,,soTGKI/ZA0KA9mtYJzGIBQ,19,,,,, , ,,,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
49,2423,2385,597,,,,,,bdsk4ILxK0at7qkQhAV6ig,2,,,,,HDF  ,HDF,,0,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
