,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2103,2101,841,,,,,,cvuaJoegQUSbGIJ/JmJzGA,6,,,,,STEEL LABOUR,beyti-5,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
1,2104,2101,841,,,,,,vorbIQyMEUagczWc9GuM9Q,5,,,,,CARPENTER,beyti-4,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,2105,2101,841,,,,,,lfymCItkgESAEWQ0ZqlwOQ,4,,,,,Painter,beyti-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
3,2106,2101,841,,,,,,dxKw2fStzEm4zQYZzs2wcw,3,,,,,EPOXY PAINTER,beyti-3,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
4,2107,2101,841,,,,,,Jwr2Pwz9ZEmmJMeBZJjVtw,2,,,,,plastering worker,beyti-2,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
5,2108,2101,841,,,,,,ke/yJDBmgECdnDnt+sm3hw,100,,,,,Brickwork Labor,beyti-6,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
6,2109,2102,841,,,,,,/x+2HoHm30K3P1wogAf7Eg,8,,,,,R.C. CONCRETE,BEYTI-M-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
7,2110,2102,841,,,,,,xdwbGFFy70CO27y+/KYFsA,7,,,,,P.C. CONCRETE,BEYTI-M-2,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
8,2111,2102,841,,,,,,IXBilWxqwEm6WMv5MJ4ltw,5,,,,,BRICKS,BEYTI-M-3,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,107,RT_Mat,,,,
9,2112,2102,841,,,,,,HmB2eslDUUaQTbuAjFsdPw,4,,,,,POLYURETHANE,BEYTI-M-5,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,107,RT_Mat,,,,
10,2113,2102,841,,,,,,uNM3QsGYSEuNfI0S+xF/VQ,4,,,,,STEEL STRUCTURE,BEYTI-11,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,106,RT_Mat,,,,
11,2114,2102,841,,,,,,Bx3bVS3QkEq02qJRdRDmfA,4,,,,,SANDWICH PANEL FOR WALLS 120MM THK,beyti-M-12,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,107,RT_Mat,,,,
12,2115,2102,841,,,,,,8hsQ1ojfGUq4RnwHk8h0Hg,3,,,,,SANDWICH PANEL FOR ROOF 150MM THK,beyti-M-7,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,107,RT_Mat,,,,
13,2116,2102,841,,,,,,yapOoGLCHkeUYmjPOzCxew,2,,,,,SANDWICH PANEL FOR WALLS 120MM(FIRE RATED),beyti-M-8,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,107,RT_Mat,,,,
14,2117,2102,841,,,,,,tgWgfrMDHkugtBMfOqAOHQ,3,,,,,POLYETHELENE SHEET 400M,BEYTI-M-15,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,107,RT_Mat,,,,
15,2118,2101,841,,,,,,8mTXv7ow2EKXDGzxzIx8HA,1,,,,,STEEL STRUCTURE LABOUR,BEYTI-20,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
16,2119,5089,1992,,,,,,Y6fkSZPGm0m1oicvaSu8EA,300,,,,,cash,CASH,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
17,2120,2119,841,,,,,,sRKGf6oiwUaTKbazxLGXkA,0,,,,,CASH-2,CASH-2,,1,QT_Hour,,Y,Y,Y,N,N,60,60,32,,RT_Mat,,,,
18,2101,,841,,,,,,yhAVHH8cxk2izGBFoJrnqw,0,,,,,LABOURS,BEYTI LABOURS,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
19,2102,,841,,,,,,BcnIyvIi/k2G7t6cHPx+MA,100,,,,,BEYTI MATERIALS,BEYTI-M,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
20,5089,,1992,,,,,,fGlT6DEcZEqGDx9z+gp+lw,21600,,,,,Solvay,S-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
