,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2368,,1066,,,,,,WsbzywGBhE6yJ3+Dcl+ksA,301,,,,,   ,R2T,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
1,2369,2368,1066,,,,,,HEMjuTxv1UOrWIEo2AUqPw,0,,,,,,Lab,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,2384,2369,1066,,,,,,JFkKu10FaUCBrwS7ee/UrQ,0,,,,, ,SUBC,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
3,2421,2384,1066,,,,,,EHbtbO67eEWxLNlKn7VTiA,15,,,,,  ,SBCO, ,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
4,2665,,1069,,,,,,rd7xi6lFL0a5hgAsherLbw,401,,,,,MATERIAL,MATERIAL,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
5,2666,,1069,,,,,,SczImIh5lkqnuu6gP4AUJw,200,,,,, ,R-4,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
6,2667,,1069,,,,,,A9CZ2VObqUCwF8qv5P2iGA,901,,,,, ,R-5,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
7,2668,2665,1069,,,,,,e9O7ekrgmkqMLriJ8YfysA,0,,,,, ,R,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,115,RT_Mat,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 8.00.6001.18702""""></HEAD><BODY bgColor=#ffffff></BODY></HTML>",,,
8,2669,2665,1069,,,,,,NKwSrJKfX0agG+LB/jN7ZQ,100,,,,, ,R-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,115,RT_Mat,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META content=""""text/html; charset=unicode"""" http-equiv=Content-Type><META name=GENERATOR content=""""MSHTML 8.00.6001.18702""""></HEAD><BODY bgColor=#ffffff></BODY></HTML>",,,
9,2670,2665,1069,,,,,,FJkVU9RqKESD7h1orBWkfA,203,,,,, ,R-2,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,116,RT_Mat,,,,
10,2671,2421,1069,,,,,,CJq0O7C1LkKqmsUGOvBivg,1,,,,,   ,R-7,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,115,RT_Mat,,,,
